大会名,公式サイトURL,開催日,開催地,都道府県
第19回名張ひなち湖マラソン大会,http://www.asint.jp/~budoiki2/nabari-taiikukyokai/hinachi.html,2026.3.15(日),三重県名張市,三重県
四日市ランナーズトライアル,https://run-colle.net/event/yRT2026-03/,2026.3.15(日),三重県四日市市,三重県
四日市中央トラックタイムトライアルＴ３,https://run-colle.net/event/ycc2026-03/,2026.3.15(日),三重県四日市市,三重県
第10回いせランフェスタ ×第1回三重ランフェスタ,https://iserun.jp/mie/,2026.3.29(日),三重県伊勢市,三重県
2026龍王桜マラソン＆ウオーキング大会（33回）,https://www.info.city.tsu.mie.jp/kankou_bunka_sports/sports_shinkou/1004426/1010268/1010767.html,2026.4.12(日),三重県津市芸濃町,三重県
志摩ロードパーティハーフマラソン2026,https://shima.roadparty.jp/index.html,2026.4.19(日),三重県志摩市,三重県
第13回多度山トレイルラン,http://tadoyama-trail.jp/,2026.4.19(日),三重県桑名市,三重県
Komono Four Peaks Trail,https://www.komono-four-peaks-trail.com/,2026.5.24(日),三重県菰野町,三重県
JOYO五里五里RUN,https://www.joyo-taikyo.com/%E5%9F%8E%E9%99%BD%E3%83%9E%E3%83%A9%E3%82%BD%E3%83%B3,2026.3.8(日),京都府城陽市,京都府
第48回京都嵐山ハーフマラソン,https://kyotorunners.wixsite.com/kyotorunners/roadrace,2026.3.15(日),京都府京都市,京都府
鴨川エコマラソン2026早春スペシャル,https://www.ecomarathon.run/%E9%B4%A8%E5%B7%9D/,2026.3.21(土),京都府京都市,京都府
第4回あやべ水源の里トレイルラン,https://fun-trails.com/race/ayabe/,2026.4.5(日),京都府綾部市,京都府
天ヶ瀬100 トレイルランニングレース,https://go-trail.net/pages/%E5%A4%A9%E3%83%B6%E7%80%AC100,2026.4.11(土),京都府宇治市,京都府
第30回京都一周トレイルラン＜東山コース＞,https://www.actrep-sports.com/kyoto-higasiyama-trailrun/,2026.4.11(土),京都府京都市,京都府
第3回 大文字・比叡山 ケーブルトレイルラン2026,https://www.actrep-sports.com/hieicable-trailrun/,2026.4.11(土),京都府京都市,京都府
第15回京都わくわくランニングフェスタ”つなぐ”,https://runfaci.jp/%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88/%E3%82%8F%E3%81%8F%E3%82%8F%E3%81%8F%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A7%E3%82%B9%E3%82%BF/%E7%94%B3%E8%BE%BC%E3%81%BF%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%88/,2026.4.12(日),京都府京都市,京都府
鴨川エコマラソン2026ＧＷスペシャル,https://www.ecomarathon.run/%E9%B4%A8%E5%B7%9D/,2026.4.29(水),京都府京都市,京都府
例幣使みち・京都～日光 570㎞ジャーニーラン2026,https://www.sportsentry.ne.jp/event/t/103504,2026.4.29(水),京都府京都市,京都府
第3回京都八幡エコマラソン,https://www.ecomarathon.run/%E9%96%A2%E8%A5%BF/%E5%85%AB%E5%B9%A1/,2026.5.6(水),京都府八幡市,京都府
第18回よさの大江山登山マラソン大会,https://www.town.yosano.lg.jp/culture/event/trailrun/,2026.5.31(日),京都府与謝野町,京都府
NORTH KYOTO 100 TRAIL RUNNING RACE,https://844962-2.myshopify.com/pages/north-kyoto-100,2026.7.11(土),京都府京都市,京都府
第10回 京都グランドトラバース2026,https://www.actrep-sports.com/kyoto-gt/,2026.9.12(土),京都府京都市,京都府
第31回 京都一周トレイルラン<北山コース>2026,https://www.actrep-sports.com/kyoto-kitayama/,2026.10.17(土),京都府京都市,京都府
さが桜マラソン2026,https://sagasakura-marathon.jp/,2026.3.22(日),佐賀県佐賀市,佐賀県
唐津鷹島ジョグトリップsince 2009,http://www.jogtrip.org/trip/index.php/view/455,2026.6.7(日),佐賀県唐津市,佐賀県
赤穂かきリレーマラソン2026,https://ako-oysterrelaymarathon.jimdosite.com/,2026.3.8(日),兵庫県赤穂市,兵庫県
Gアリナイトリレーマラソン,https://www.totteikobe.jp/news/article/20489,2026.3.11(水),兵庫県神戸市,兵庫県
第15回 六甲縦走トレイルラン2026,https://www.actrep-sports.com/rokko-trailrun/,2026.3.14(土),兵庫県神戸市,兵庫県
TAMBAシリーズ戦  第3戦 〜高山寺ラウンドトラバース〜,https://trailrun-tamba.com/series2026/kouzanji202603/,2026.3.14(土),兵庫県丹波市,兵庫県
第3回宝塚リレーマラソン,https://relaymarathon-jlsa.jimdofree.com/%E6%AD%A6%E5%BA%AB%E5%B7%9D%E6%B2%B3%E5%B7%9D%E5%85%AC%E5%9C%92/,2026.3.15(日),兵庫県宝塚市,兵庫県
